New York Yankees,"Acevedo, Juan",900000,Pitcher
New York Yankees,"Anderson, Jason",300000,Pitcher
New York Yankees,"Clemens, Roger",10100000,Pitcher
New York Yankees,"Contreras, Jose",5500000,Pitcher
New York Yankees,"Flaherty, John",750000,Catcher
New York Yankees,"Giambi, Jason",11428571,First Baseman
New York Yankees,"Hammond, Chris",2200000,Pitcher
New York Yankees,"Hitchcock, Sterling",6000000,Pitcher
New York Yankees,"Jeter, Derek",15600000,Shortstop
New York Yankees,"Johnson, Nick",364100,First Baseman
New York Yankees,"Karsay, Steve",5000000,Pitcher
New York Yankees,"Latham, Chris",400000,Outfielder
New York Yankees,"Liever, Jon",550000,Pitcher
New York Yankees,"Matsui, Hideki",6000000,Outfielder
New York Yankees,"Mondesi, Raul",13000000,Outfielder
New York Yankees,"Mussina, Mike",12000000,Pitcher
New York Yankees,"Osuna, Antonio",2400000,Pitcher
New York Yankees,"Pettitte, Andy",11500000,Pitcher
New York Yankees,"Posada, Jorge",8000000,Catcher
New York Yankees,"Rivera, Mariano",10500000,Pitcher
New York Yankees,"Soriano, Alfonso",800000,Second Baseman
New York Yankees,"Trammell, Bubba",2500000,Outfielder
New York Yankees,"Ventura, Robin",5000000,Third Baseman
New York Yankees,"Weaver, Jeff",4150000,Pitcher
New York Yankees,"Wells, David",3250000,Pitcher
New York Yankees,"Williams, Bernie",12357143,Outfielder
New York Yankees,"Wilson, Enrique",700000,Shortstop
New York Yankees,"Zeile, Todd",1500000,Third Baseman
Anaheim Angels,"Anderson, Garret",5350000,Outfielder
Anaheim Angels,"Appier, Kevin",11500000,Pitcher
Anaheim Angels,"Callaway, Mickey",302500,Pitcher
Anaheim Angels,"Donnelly, Brendan",325000,Pitcher
Anaheim Angels,"Eckstein, David",425000,Shortstop
Anaheim Angels,"Erstad, Darin",7250000,Outfielder
Anaheim Angels,"Fullmer, Brad",1000000,First Baseman
Anaheim Angels,"Gil, Benji",725000,Shortstop
Anaheim Angels,"Glaus, Troy",7250000,Third Baseman
Anaheim Angels,"Kennedy, Adam",2270000,Second Baseman
Anaheim Angels,"Lackey, John",315000,Pitcher
Anaheim Angels,"Molina, Benjie",1425000,Catcher
Anaheim Angels,"Molina, Jose",320000,Catcher
Anaheim Angels,"Ortiz, Ramon",2266667,Pitcher
Anaheim Angels,"Owens, Eric",925000,Outfielder
Anaheim Angels,"Percival, Troy",7833333,Pitcher
Anaheim Angels,"Ramirez, Julio",300000,Outfielder
Anaheim Angels,"Rodriquez, Francisco",312500,Pitcher
Anaheim Angels,"Salmon, Tim",9900000,Outfielder
Anaheim Angels,"Schoeneweis, Scott",1425000,Pitcher
Anaheim Angels,"Sele, Aaron",8166667,Pitcher
Anaheim Angels,"Shields, Scot",305000,Pitcher
Anaheim Angels,"Spiezio, Scott",4250000,First Baseman
Anaheim Angels,"Washburn, Jarrod",3875000,Pitcher
Anaheim Angels,"Weber, Ben",375000,Pitcher
Anaheim Angels,"Wise, Matt",302500,Pitcher
Anaheim Angels,"Wooten, Shawn",337500,Catcher
Boston Red Sox,"Burkett, John",5500000,Pitcher
Boston Red Sox,"Damon, Johnny",7500000,Outfielder
Boston Red Sox,"Embree, Alan",3000000,Pitcher
Boston Red Sox,"Fossum, Casey",324500,Pitcher
Boston Red Sox,"Fox, Chad",500000,Pitcher
Boston Red Sox,"Garciaparra, Nomar",11000000,Shortstop
Boston Red Sox,"Giambi, Jeremy",2000000,Outfielder
Boston Red Sox,"Gonzalez, Dicky",300000,Pitcher
Boston Red Sox,"Hillenbrand, Shea",407500,Third Baseman
Boston Red Sox,"Howry, Bobby",1700000,Pitcher
Boston Red Sox,"Jackson, Damian",625000,Shortstop
Boston Red Sox,"Lowe, Derek",3625000,Pitcher
Boston Red Sox,"Lyon, Brandon",309500,Pitcher
Boston Red Sox,"Martinez, Pedro",15500000,Pitcher
Boston Red Sox,"Mendoza, Ramiro",2900000,Pitcher
Boston Red Sox,"Millar, Kevin",2000000,First Baseman
Boston Red Sox,"Mirabelli, Doug",805000,Catcher
Boston Red Sox,"Mueller, Bill",2100000,Third Baseman
Boston Red Sox,"Nixon, Trot",4000000,Outfielder
Boston Red Sox,"Ortiz, David",1250000,First Baseman
Boston Red Sox,"Person, Robert",300000,Pitcher
Boston Red Sox,"Ramirez, Manny",20000000,Outfielder
Boston Red Sox,"Timlin, Mike",1850000,Pitcher
Boston Red Sox,"Varitek, Jason",4700000,Catcher
Boston Red Sox,"Wakefield, Tim",4000000,Pitcher
Boston Red Sox,"Walker, Todd",3450000,Second Baseman
Boston Red Sox,"White, Matt",300000,Pitcher
Cleveland Indians,"Anderson, Brian",1500000,Pitcher
Cleveland Indians,"Baez, Danys",5125000,Pitcher
Cleveland Indians,"Bard, Josh",302100,Catcher
Cleveland Indians,"Bere, Jason",1000000,Pitcher
Cleveland Indians,"Blake, Casey",330000,Third Baseman
Cleveland Indians,"Bradley, Milton",314300,Outfielder
Cleveland Indians,"Broussard, Benjamin",303000,First Baseman
Cleveland Indians,"Burks, Ellis",7166667,Outfielder
Cleveland Indians,"Davis, Jason",301100,Pitcher
Cleveland Indians,"Garcia, Karim",900000,Outfielder
Cleveland Indians,"Gutierrez, Ricky",3916667,Shortstop
Cleveland Indians,"Hafner, Travis",302200,First Baseman
Cleveland Indians,"Laker, Tim",400000,Catcher
Cleveland Indians,"Lawton, Matt",6750000,Outfielder
Cleveland Indians,"Lee, Cliff",300900,Pitcher
Cleveland Indians,"McDonald, John",314400,Shortstop
Cleveland Indians,"Mulholland, Terry",500000,Pitcher
Cleveland Indians,"Myette, Aaron",307500,Pitcher
Cleveland Indians,"Phillips, Brandon",300900,Shortstop
Cleveland Indians,"Riske, David",314000,Pitcher
Cleveland Indians,"Rodriguez, Ricardo",302400,Pitcher
Cleveland Indians,"Sabathia, CC",1100000,Pitcher
Cleveland Indians,"Sadler, Carl",303200,Pitcher
Cleveland Indians,"Santiago, Jose",600000,Pitcher
Cleveland Indians,"Selby, Bill",325000,Second Baseman
Cleveland Indians,"Spencer, Shane",600000,Outfielder
Cleveland Indians,"Traber, Billy",300000,Pitcher
Cleveland Indians,"Vizquel, Omar",5500000,Shortstop
Cleveland Indians,"Westbrook, Jake",305500,Pitcher
Cleveland Indians,"Wickman, Bob",6000000,Pitcher
Cleveland Indians,"Wohlers, Mark",2600000,Pitcher
Toronto Blue Jays ,"Berg, Dave",700000,Shortstop
Toronto Blue Jays ,"Bordick, Mike",1000000,Shortstop
Toronto Blue Jays ,"Catalanotto, Frank",2200000,Outfielder
Toronto Blue Jays ,"Creek, Doug",700000,Pitcher
Toronto Blue Jays ,"Delgado, Carlos",18700000,First Baseman
Toronto Blue Jays ,"Escobar, Kelvim",3900000,Pitcher
Toronto Blue Jays ,"File, Bob",310000,Pitcher
Toronto Blue Jays ,"Halladay, Roy",3825000,Pitcher
Toronto Blue Jays ,"Hendrickson, Mark",302000,Pitcher
Toronto Blue Jays ,"Hinske, Eric",600000,Third Baseman
Toronto Blue Jays ,"Huckaby, Ken",313000,Catcher
Toronto Blue Jays ,"Hudson, Orlando",313000,Second Baseman
Toronto Blue Jays ,"Lidle, Cory",5350000,Pitcher
Toronto Blue Jays ,"Linton, Doug",350000,Pitcher
Toronto Blue Jays ,"Lopez, Aquilino",300000,Pitcher
Toronto Blue Jays ,"Miller, Trever",305000,Pitcher
Toronto Blue Jays ,"Myers, Greg",800000,Catcher
Toronto Blue Jays ,"Phelps, Josh",320000,First Baseman
Toronto Blue Jays ,"Politte, Cliff",845000,Pitcher
Toronto Blue Jays ,"Stewart, Shannon",6200000,Outfielder
Toronto Blue Jays ,"Sturtze, Tanyon",1000000,Pitcher
Toronto Blue Jays ,"Tam, Jeff",600000,Pitcher
Toronto Blue Jays ,"Walker, Pete",425000,Pitcher
Toronto Blue Jays ,"Wells, Vernon",520000,Outfielder
Toronto Blue Jays ,"Werth, Jayson",300000,Catcher
Toronto Blue Jays ,"Wilson, Tom",316000,Catcher
Toronto Blue Jays ,"Woodward, Chris",775000,Shortstop
Baltimore Orioles,"Batista, Tony",6400000,Third Baseman
Baltimore Orioles,"Bauer, Rick",325000,Pitcher
Baltimore Orioles,"Bedard, Erik",300000,Pitcher
Baltimore Orioles,"Belle, Albert",13000000,Outfielder
Baltimore Orioles,"Conine, Jeff",4250000,Outfielder
Baltimore Orioles,"Cordova, Marty",3100000,Outfielder
Baltimore Orioles,"Cruz, Deivi",1000000,Shortstop
Baltimore Orioles,"Daal, Omar",3000000,Pitcher
Baltimore Orioles,"Erickson, Scott",7030000,Pitcher
Baltimore Orioles,"Fordyce, Brook",3500000,Catcher
Baltimore Orioles,"Gibbons, Jay",375000,First Baseman
Baltimore Orioles,"Gil, Geronimo",330000,Catcher
